STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
690150,93121, 20140401,   54.8,17,   28.3,17, 1007.4,17,  932.7,17,   9.9,17,   6.7,17,  12.0,  21.0,   64.0*,  46.9*, 0.00I,999.9, 000000,
691684,99999, 20140401,   82.2,24,   23.5,24, 9999.9, 0, 9999.9, 0, 999.9, 0,  13.9,24,  22.0, 999.9,   93.2*,  73.4*, 0.00I,999.9, 000000,
720193,99999, 20140401,   37.0,24,   33.8,24, 9999.9, 0, 9999.9, 0,   6.8,24,   1.0,24,   5.1, 999.9,   46.4*,  32.0*, 0.00I,999.9, 000000,
720267,23224, 20140401,   41.7,24,   40.3,24, 9999.9, 0, 9999.9, 0,   5.8,24,   6.5,24,  11.1,  18.1,   46.4*,  37.4*, 0.00I,999.9, 000000,
720333,53175, 20140401,   56.3,24,   42.7,24, 1015.2,22, 9999.9, 0,   9.6,24,   7.5,24,  13.0,  18.1,   70.0 ,  37.9 , 0.03G,999.9, 010000,
720406,99999, 20140401,   47.7,24,   44.7,24, 9999.9, 0, 9999.9, 0,   9.3,24,   4.3,24,  13.0,  25.1,   57.2*,  41.0*,99.99 ,999.9, 010000,
720576,99999, 20140401,   46.5,24,   45.3,24, 9999.9, 0, 9999.9, 0,   8.6,24,   6.9,24,  15.0,  24.1,   53.6*,  44.6*, 0.00I,999.9, 000000,
720614,99999, 20140401,   45.4,24,   42.1,24, 9999.9, 0, 9999.9, 0,   9.1,24,   9.2,24,  18.1,  24.1,   51.8*,  42.8*, 0.00I,999.9, 000000,
720645,99999, 20140401,   36.7,16,   34.1,16, 9999.9, 0, 9999.9, 0,   6.3,16,   7.7,16,  14.0,  22.0,   46.4*,  32.0*, 0.00I,999.9, 000000,
720646,99999, 20140401,   49.0,24,   44.2,24, 9999.9, 0, 9999.9, 0,   6.6,24,   7.4,24,  19.0,  31.1,   55.4*,  44.6*,99.99 ,999.9, 010000,
720652,99999, 20140401,   25.4,24,   14.6,24, 1008.5,21, 9999.9, 0,   7.2,24,   6.5,24,  15.0,  24.1,   39.9 ,  14.0 , 0.01G,999.9, 101000,
720952,99999, 20140401,   48.4,24,   27.9,24, 1013.0,24, 9999.9, 0,  10.0,24,  11.0,24,  17.1,  28.0,   64.6 ,  38.3 , 0.02A,999.9, 010000,
722810,23199, 20140401,   64.9,24,   38.0,24, 1014.0,23, 1014.0,24,   9.7,24,  19.8,24,  28.0,  40.0,   84.9 ,  52.0 , 0.00G,999.9, 000000,
722860,23119, 20140401,   52.8,24,   39.2,24, 1014.9,18,  959.5,16,  10.0,24,   7.1,24,  14.0,  18.1,   69.3 ,  38.8 , 0.00G,999.9, 010000,
722868,93138, 20140401,   63.4,24,   32.9,24, 1011.6,24,  995.3,24,  10.0,24,   7.2,23,  22.0,  29.9,   82.0 ,  53.1 , 0.00G,999.9, 000000,
722869,03171, 20140401,   56.4,24,   41.0,24, 1014.0,23,  984.9,24,   9.8,24,   7.8,24,  13.0,  22.0,   70.0 ,  46.0 , 0.00G,999.9, 010000,
722874,93134, 20140401,   57.3,24,   45.5,24, 1015.2,24, 1008.6,24,   9.8,24,   3.0,24,  11.1,  19.0,   68.0 ,  51.1 , 0.09G,999.9, 010000,
