STN---,WBAN , YEARMODA,   TEMP,   DEWP,  SLP  ,  STP  , VISIB,  WDSP, MXSPD,  GUST,   MAX  ,  MIN  
690150,93121,20140401,54.8,28.3,1007.4,932.7,9.9,6.7,12,21,   64.0*,  46.9*
691684,99999,20140401,82.2,23.5,9999.9,9999.9,999.9,13.9,22,999.9,   93.2*,  73.4*
720193,99999,20140401,37,33.8,9999.9,9999.9,6.8,1,5.1,999.9,   46.4*,  32.0*
720267,23224,20140401,41.7,40.3,9999.9,9999.9,5.8,6.5,11.1,18.1,   46.4*,  37.4*
720333,53175,20140401,56.3,42.7,1015.2,9999.9,9.6,7.5,13,18.1,70,37.9
720406,99999,20140401,47.7,44.7,9999.9,9999.9,9.3,4.3,13,25.1,   57.2*,  41.0*
720576,99999,20140401,46.5,45.3,9999.9,9999.9,8.6,6.9,15,24.1,   53.6*,  44.6*
720614,99999,20140401,45.4,42.1,9999.9,9999.9,9.1,9.2,18.1,24.1,   51.8*,  42.8*
720645,99999,20140401,36.7,34.1,9999.9,9999.9,6.3,7.7,14,22,   46.4*,  32.0*
720646,99999,20140401,49,44.2,9999.9,9999.9,6.6,7.4,19,31.1,   55.4*,  44.6*
720652,99999,20140401,25.4,14.6,1008.5,9999.9,7.2,6.5,15,24.1,39.9,14
720952,99999,20140401,48.4,27.9,1013,9999.9,10,11,17.1,28,64.6,38.3
722810,23199,20140401,64.9,38,1014,1014,9.7,19.8,28,40,84.9,52
722860,23119,20140401,52.8,39.2,1014.9,959.5,10,7.1,14,18.1,69.3,38.8
722868,93138,20140401,63.4,32.9,1011.6,995.3,10,7.2,22,29.9,82,53.1
722869,3171,20140401,56.4,41,1014,984.9,9.8,7.8,13,22,70,46
722874,93134,20140401,57.3,45.5,1015.2,1008.6,9.8,3,11.1,19,68,51.1
722880,23152,20140401,55,41.9,1014,988.2,9.7,6.3,14,21,   62.1*,  48.2*
722885,93197,20140401,58.8,46,1015.4,1009.1,9.8,7.5,14,24.1,66,52
722886,23130,20140401,55.1,40.7,1014.2,985.6,9.5,4.4,9.9,17.1,66,48
722887,3180,20140401,55.1,40.2,9999.9,979.2,9.5,9.1,14,20,   59.0*,  48.2*
722890,93136,20140401,34.6,34.3,9999.9,9999.9,999.9,8.6,15.9,21,   41.0*,  28.4*
722895,23243,20140401,52.6,44.1,9999.9,1012.9,9.5,5,15,20,62.6,42.8
722897,93206,20140401,52,45.1,1015.4,1007.6,8.1,4.2,17.1,25.1,61,43
722899,3179,20140401,55.8,44.3,1015.3,990.6,9.4,8.2,17.1,22,70,44.1
722900,23188,20140401,61,46,1016.8,1015.8,9.6,7.7,14,22,66.9,55.9
722903,3131,20140401,57.4,46.2,1016.1,1000.8,9,6.4,12,17.1,64.9,48
722904,3178,20140401,56,45.9,1016.1,997.1,9.2,5.8,11.1,20,66,44.1
722906,93112,20140401,64.6,46.9,1016.1,1015.3,9.8,9.2,14,15.9,71.1,55.9
722907,53143,20140401,55.8,44.8,9999.9,1002.5,9.1,4.6,14,19,   64.4*,  48.2*
722909,93115,20140401,58.2,48.1,1016.7,1015.9,9.9,7.6,14,999.9,66,46
722910,93116,20140401,55.2,43,1016,997.9,7,11.7,15,22.9,   59.0*,  51.1*
722920,23191,20140401,51,42.9,1015.8,958.4,9.2,13.1,17.1,22.9,55.9,46
722925,93117,20140401,60.9,45.2,1017.2,1010.6,10,12.9,14,999.9,   64.0*,  55.4*
722926,3154,20140401,54.9,43.4,1016.2,1013.1,7.4,4.2,12,19,66.9,41
722927,3177,20140401,56.6,45.2,1015.8,1003.9,9.1,5.1,9.9,17.1,64.9,51.1
722928,99999,20140401,56.6,45.5,1024.8,9999.9,8.3,7.8,12,999.9,66,48.9
722934,53121,20140401,56.3,45.6,1015.9,1014.8,9.2,4.1,13,19,68,45
722950,23174,20140401,57.6,45.9,1015.6,1003.8,9.8,12.9,19,22.9,64,51.1
722953,3183,20140401,47.5,29.3,9999.9,914.5,10,18.1,26,33,   59.0*,  39.2*
722955,3174,20140401,60.4,46,9999.9,9999.9,15.6,13,18.1,20,   62.6*,  55.4*
722956,3167,20140401,57.7,43.5,1015.6,1013.4,10,9,17.1,24.1,64,53.1
722970,23129,20140401,58.5,42.8,1015.4,1014.2,9.7,8.4,14,20,64.9,51.1
722975,53141,20140401,58,46.6,1015.9,1014.2,9.8,8.2,18.1,22,65.5,51.1
722976,3166,20140401,59,44.7,1015.2,1011.8,9.8,4.7,9.9,18.1,68,52
722977,93184,20140401,58.4,45.1,1015.8,1013.8,9.8,5.5,11.1,17.1,66,52
723171,53144,20140401,49.3,31.8,1012.1,931.4,9.9,15.5,24.1,34,68,36
723762,93244,20140401,49.8,43.5,9999.9,991.2,7.8,4.8,17.1,22,   59.0*,  42.8*
723805,23179,20140401,68.7,21.5,1007.4,976.6,10,9.7,18.1,25.1,82.9,53.1
723810,23114,20140401,49.4,33.3,1011.8,930.9,39.1,13.8,22,32.1,67.6,37.2
723815,23161,20140401,55,30,1010.1,942.7,10,18.7,28.9,38.1,73.9,39
723816,3159,20140401,47,34.7,1013.5,930.5,9.9,15.1,22,32.1,64,39
723820,23182,20140401,48.2,36.1,1012.7,922.2,9.6,14.3,31.1,42.9,66,39
723825,23131,20140401,49.5,28.6,9999.9,911.3,10,12.3,22.9,25.1,   62.6*,  39.2*
723830,23187,20140401,39.5,31.8,1011.5,858,7.7,11.3,22,31.1,57,34
723840,23155,20140401,55.1,40,1014,996.4,9.9,6.5,17.1,25.1,71.1,46.9
723890,93193,20140401,52.2,41.2,1014.3,1002.5,9.7,5.6,15.9,22.9,68,43
723894,3181,20140401,26.1,15,9999.9,774.4,7,7.5,18.1,27,   37.4*,  10.4*
723895,23149,20140401,52.6,42.6,9999.9,999.2,8.6,5,21,25.1,66.2,44.6
723896,93144,20140401,51.8,40.3,9999.9,1004.2,9.2,4.6,15,18.1,64.4,39.2
723898,53119,20140401,50.6,42.5,1014.5,1005.8,6.4,5.4,15.9,999.9,66.9,37.9
723910,93111,20140401,59.1,47.1,1015.3,1014.8,7,11.7,21,27,64.9,46
723925,23190,20140401,54.8,45.1,1015.1,1014.4,9.5,6.7,17.1,24.1,64,43
723927,93110,20140401,55.8,46.2,1015.1,1012.7,9.8,11.1,22,26,62.1,45
723930,93214,20140401,52,45,1015,1002.7,9.6,6.7,18.1,24.1,62.1,42.1
723940,23273,20140401,54.2,44.5,1015.7,1006.7,9.3,5.7,15.9,21,64.9,44.1
723965,93209,20140401,47.7,42.5,1014.3,984.9,7.9,4.7,13,18.1,61,39
724800,23157,20140401,42.7,22.7,1006.9,866.1,9.7,6.9,19,25.1,62.1,26.1
724810,23203,20140401,46.9,43.9,9999.9,9999.9,7,5,12,18.1,   60.8*,  37.4*
724815,23257,20140401,48,41.5,1014,1008.2,9.6,5.4,14,22,66,37.9
724828,93241,20140401,46.8,43.8,1012.5,1008.5,8.9,5.6,14,24.1,55.9,43
724830,23232,20140401,47,44.3,1012.8,1012,8,6.3,19,28,57.9,43
724833,23206,20140401,46.4,44.6,9999.9,1010.3,7.3,8.1,33,44.7,   55.4*,  41.0*
724836,23208,20140401,45.8,43.1,9999.9,9999.9,6.9,8.4,13,20,   50.0*,  44.6*
724837,93216,20140401,46.7,43.6,1018.9,1009.1,8.9,12.2,20,26,58.1,40.5
724838,93205,20140401,47,43.2,1012.6,1010.2,9.5,10.5,19,24.1,57.9,43
724839,93225,20140401,46.8,43.3,1012.4,1011.3,8.7,9,13,15.9,60.1,43
724915,23259,20140401,51.2,42,1015,1005.8,9.5,6.4,14,22.9,62.1,45
724920,23237,20140401,47.9,43.5,1012.9,1012,9.8,8.8,20,25.1,59,39.9
724926,23258,20140401,48.1,29,1013.5,1009.9,9.3,6.1,15,21,   57.0*,  41.0*
724927,23285,20140401,48.2,41.3,1012.4,998,9.3,4.9,13,22,57.9,39
724930,23230,20140401,50.9,43.6,1012.5,1009.4,9.8,10.7,25.1,31.1,57.9,46.9
724937,23289,20140401,52.8,44.3,9999.9,1012.7,22.7,8.4,15,999.9,   59.0*,  46.4*
724938,93231,20140401,48.8,42.8,9999.9,1012.9,9.7,6.7,13,18.1,   57.2*,  44.6*
724940,23234,20140401,51.2,45.1,1012.3,1011.9,9.6,8,15.9,22.9,59,48
724945,23293,20140401,48.2,43.2,1013,1011.3,9.9,8.3,13,20,57,43
724946,93232,20140401,52.4,43.8,9999.9,1008.6,10,9.6,18.1,999.9,   59.0*,  44.6*
724955,93227,20140401,48.4,44.5,1011.1,1010,9.7,6.9,15,22.9,55.9,39.9
724957,23213,20140401,46.1,43.2,1010.7,1005.9,6.8,4.2,18.1,27,54,39.9
724973,93203,20140401,45.7,41.6,9999.9,1003.9,9.9,11.1,20,22,   50.0*,  42.8*
725845,23225,20140401,27.5,25.3,1010.3,830.7,0.9,7.6,13,19,   32.0*,  24.8*
725846,93201,20140401,27.5,22.1,9999.9,811.2,6.8,6.2,15,21,   35.6*,  17.6*
725847,93230,20140401,28.2,18.5,1007.8,799,4.9,8.2,14,22,39.9,19.9
725905,23275,20140401,44.5,40.7,1010.6,988.2,8.8,2.3,9.9,20,50,41
725910,24216,20140401,46.3,42.3,1011.5,998.5,8.8,11.7,17.1,27,55,42.1
725920,24257,20140401,45.3,42.3,1010.6,992.4,9.1,10.3,17.1,19,52,43
725930,23233,20140401,49.9,43.2,1014.6,1011,9.9,7.8,15,20,61,44.1
725940,24213,20140401,48.8,39.7,1009.1,1006.3,9.9,8,9.9,999.9,54,43
725945,24283,20140401,48.9,39.4,1009.2,1001,10,8.2,12,18.1,59,43
725946,24286,20140401,48.6,40.6,1008.8,1006.8,10,9.5,15,22,55.9,44.1
725955,24259,20140401,38,29.7,1009.8,915.2,10,4.9,15,19,54,25
725957,24215,20140401,34.9,30.8,1011.3,885.3,6.6,1.2,7,999.9,45,30.9
725958,94299,20140401,34.9,27.7,1007.7,857.5,9,7,18.1,22.9,46,27
745046,93242,20140401,49,40.5,1014.3,1005.2,9.8,6.6,17.1,999.9,66,39
745048,93210,20140401,47.6,41.9,1012.9,1005.5,9.3,11.2,20,25.1,   55.9*,  44.6*
745056,53120,20140401,50.8,43.1,1015.2,965.4,8.8,7,18.1,21,66.9,33.1
745057,53130,20140401,58.1,36.5,9999.9,979.5,25,5.8,9.9,999.9,   60.8*,  55.4*
745058,23277,20140401,47.6,43.4,1013.9,1008,9,4.1,17.1,21,60.1,41
745090,23244,20140401,49.4,42.5,1013.4,1012.1,9.4,6.6,12,21,   57.9*,  44.6*
745160,23202,20140401,48.3,47.5,1012.1,1010.2,10,6.7,20,28,56.7,42.8
746120,93104,20140401,53.2,24.1,1009.7,929.3,10,15,26,35.9,72,41
747020,23110,20140401,53.1,41.4,1014.2,1005.5,7.5,8.1,20,999.9,71.1,39
747043,3165,20140401,59,41,9999.9,1004.9,10,7.2,13,19,   62.6*,  53.6*
747185,3144,20140401,64,38.7,1012.1,1014.1,9.9,16,25.1,35.9,84,51.1
747186,3164,20140401,48,40.9,1012.5,921.6,999.9,12.8,18.1,27,   55.9*,  45.0*
747187,3104,20140401,66.3,33.9,1011.3,1015.4,10,9.3,19,28,84.9,50
747188,23158,20140401,66.9,32.8,1010.4,996.7,10,14,22,32.1,84,52
749171,99999,20140401,39.4,32.1,9999.9,9999.9,6.6,11.7,18.1,24.1,   51.8*,  32.0*
749179,99999,20140401,48,44.4,9999.9,9999.9,8.9,4.5,14,18.1,   59.0*,  42.8*
749485,99999,20140401,45.9,40.3,9999.9,9999.9,9.7,10.3,18.1,24.1,   53.6*,  41.0*
749486,99999,20140401,32.6,32.6,9999.9,9999.9,1,2.3,9.9,17.1,   37.4*,  32.0*
994012,99999,20140401,48.7,9999.9,1008.6,9999.9,999.9,10,15.9,999.9,   53.2*,  46.0*
994016,99999,20140401,50.4,9999.9,1012.4,9999.9,999.9,5.3,8.9,999.9,   55.0*,  47.3*
994018,99999,20140401,58.3,9999.9,1016.4,9999.9,999.9,7.3,15.9,999.9,   60.6*,  56.3*
994028,99999,20140401,55.6,9999.9,1015.6,9999.9,999.9,12.2,20,999.9,   57.6*,  51.6*
994033,99999,20140401,51,9999.9,1012.1,9999.9,999.9,10.8,22.9,999.9,   55.9*,  47.8*
994034,99999,20140401,48.8,9999.9,1012.2,9999.9,999.9,5.7,11.1,999.9,   55.4*,  46.4*
994036,99999,20140401,51.7,9999.9,1011.9,9999.9,999.9,7.8,19,999.9,   55.9*,  49.8*
994041,99999,20140401,49.3,9999.9,1012.1,9999.9,999.9,5.7,15,999.9,   57.6*,  45.1*
